inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,1,1,-8,1,0.0,2,0.0
1,1,1,-8,3,0.0,1,0.0
1,1,1,-7,0,0.020552408,4,0.5608161
1,1,1,-7,1,0.035792075,8,0.9766628
1,1,1,-7,3,0.00589421,2,0.16083606
1,1,1,-7,6,0.11404587,1,3.111984
1,1,1,-7,7,0.11581661,2,3.1603022
1,1,1,-6,0,0.011363877,23,0.31008753
1,1,1,-6,1,0.034187738,11,0.93288505
1,1,1,-6,2,0.0067446046,1,0.18404087
1,1,1,-6,3,0.05047964,6,1.3774443
1,1,1,-6,4,0.0031739324,2,0.08660749
1,1,1,-6,5,0.15999073,1,4.365687
1,1,1,-6,6,0.04881095,1,1.3319105
1,1,1,-6,7,0.07977021,3,2.1766996
1,1,1,-5,0,0.02291253,72,0.6252171
1,1,1,-5,1,0.053098455,31,1.4489042
1,1,1,-5,2,0.028007124,9,0.7642339
1,1,1,-5,3,0.07526552,10,2.0537796
1,1,1,-5,4,0.019827977,1,0.54104847
1,1,1,-5,5,0.033294953,4,0.90852356
1,1,1,-5,6,0.004423216,2,0.12069685
1,1,1,-5,7,0.06126565,6,1.6717635
1,1,1,-4,0,0.019270685,201,0.5258416
1,1,1,-4,1,0.039195906,94,1.0695436
1,1,1,-4,2,0.053741533,28,1.4664519
1,1,1,-4,3,0.06268861,30,1.710592
1,1,1,-4,4,0.09045684,7,2.4683073
1,1,1,-4,5,0.06615532,13,1.8051885
1,1,1,-4,6,0.0791623,9,2.1601117
1,1,1,-4,7,0.06870633,11,1.8747983
1,1,1,-3,0,0.01628256,505,0.44430426
1,1,1,-3,1,0.037081067,236,1.0118357
1,1,1,-3,2,0.041029435,59,1.1195753
1,1,1,-3,3,0.09316254,82,2.5421379
1,1,1,-3,4,0.07036197,10,1.9199759
1,1,1,-3,5,0.074373215,44,2.0294313
1,1,1,-3,6,0.1034832,11,2.823759
1,1,1,-3,7,0.10730031,22,2.927917
1,1,1,-2,0,0.020440277,1064,0.55775636
1,1,1,-2,1,0.03686645,539,1.0059794
1,1,1,-2,2,0.07750646,119,2.1149285
1,1,1,-2,3,0.08151879,183,2.2244134
1,1,1,-2,4,0.064644545,32,1.7639638
1,1,1,-2,5,0.109794825,72,2.995985
1,1,1,-2,6,0.058357246,26,1.5924015
1,1,1,-2,7,0.12951255,45,3.5340252
1,1,1,-1,0,0.031361107,2314,0.85575444
1,1,1,-1,1,0.05401486,1152,1.4739103
1,1,1,-1,2,0.062798485,244,1.7135901
1,1,1,-1,3,0.08464487,383,2.309715
1,1,1,-1,4,0.06262138,75,1.7087574
1,1,1,-1,5,0.0697094,183,1.9021691
1,1,1,-1,6,0.06984881,70,1.9059733
1,1,1,-1,7,0.0923896,113,2.5210466
1,1,1,0,0,0.03040611,11058,0.82969534
1,1,1,0,1,0.04921307,5206,1.3428832
1,1,1,0,2,0.049025618,1141,1.3377682
1,1,1,0,3,0.07419837,1703,2.0246603
1,1,1,0,4,0.05041429,349,1.375661
1,1,1,0,5,0.06511164,747,1.7767094
1,1,1,0,6,0.05086876,270,1.3880622
1,1,1,0,7,0.09349123,477,2.5511067
1,1,1,1,0,0.028204486,884,0.76961935
1,1,1,1,1,0.053579554,788,1.462032
1,1,1,1,2,0.056850243,351,1.5512797
1,1,1,1,3,0.068722166,538,1.8752303
1,1,1,1,4,0.05626911,109,1.5354222
1,1,1,1,5,0.057503607,317,1.5691081
1,1,1,1,6,0.035938203,138,0.98065025
1,1,1,1,7,0.0699973,214,1.9100251
1,1,1,2,0,0.029831147,366,0.8140062
1,1,1,2,1,0.027286943,292,0.74458224
1,1,1,2,2,0.033188924,141,0.90563035
1,1,1,2,3,0.044128284,213,1.204134
1,1,1,2,4,0.046058316,55,1.256799
1,1,1,2,5,0.056013312,120,1.5284423
1,1,1,2,6,0.053367198,71,1.4562374
1,1,1,2,7,0.06677341,86,1.8220543
1,1,1,3,0,0.029032398,217,0.7922107
1,1,1,3,1,0.028587822,144,0.7800795
1,1,1,3,2,0.0480516,64,1.31119
1,1,1,3,3,0.041016925,83,1.119234
1,1,1,3,4,0.06217256,26,1.6965103
1,1,1,3,5,0.10733707,55,2.92892
1,1,1,3,6,0.06712914,24,1.8317614
1,1,1,3,7,0.034379575,38,0.93811977
1,1,1,4,0,0.012977753,72,0.35412556
1,1,1,4,1,0.033412416,54,0.91172874
1,1,1,4,2,0.0341995,27,0.933206
1,1,1,4,3,0.043437894,43,1.1852952
1,1,1,4,4,0.06448883,4,1.7597147
1,1,1,4,5,0.04722215,23,1.2885567
1,1,1,4,6,0.066962756,8,1.8272212
1,1,1,4,7,0.048464336,11,1.3224524
1,1,1,5,0,0.022678804,37,0.6188393
1,1,1,5,1,0.017853871,25,0.4871808
1,1,1,5,2,0.02740077,16,0.74768823
1,1,1,5,3,0.022523593,11,0.6146041
1,1,1,5,4,0.01919806,2,0.52385986
1,1,1,5,5,0.019458313,10,0.5309614
1,1,1,5,6,0.03348316,6,0.91365916
