team,year,total_war,bat_war,pit_war,actual_w
ATL,1976,30.129999999999995,13.209999999999999,16.919999999999998,70
TEX,1976,23.050000000000004,2.0500000000000003,21.000000000000004,76
CHN,1976,33.67,16.090000000000003,17.580000000000002,75
CAL,1976,8.459999999999999,-11.97,20.43,76
NYN,1976,48.27,21.400000000000002,26.87,86
MIN,1976,24.610000000000003,12.21,12.400000000000002,85
KCA,1976,30.009999999999998,9.110000000000001,20.9,90
BOS,1976,31.109999999999996,13.129999999999999,17.979999999999997,83
PIT,1976,49.17,28.36,20.81,92
MON,1976,14.530000000000003,4.250000000000002,10.280000000000001,55
DET,1976,11.340000000000002,-0.7600000000000002,12.100000000000001,74
MIN,1977,30.509999999999998,21.48,9.03,84
CAL,1977,13.05,0.6600000000000001,12.39,74
SFN,1977,37.9,21.5,16.4,75
OAK,1977,6.040000000000002,-2.6199999999999983,8.66,63
SDN,1977,20.75,17.009999999999998,3.74,69
TEX,1977,34.64,19.14,15.5,94
SLN,1977,28.39,18.53,9.86,83
HOU,1977,42.96,26.28,16.68,81
CIN,1977,54.55,45.269999999999996,9.280000000000001,88
TOR,1977,4.510000000000001,1.0000000000000002,3.5100000000000002,54
ATL,1977,12.089999999999996,12.449999999999998,-0.3600000000000003,61
SEA,1977,5.530000000000001,7.460000000000001,-1.9299999999999997,64
BOS,1977,44.97,31.090000000000003,13.879999999999999,97
LAN,1977,63.78,42.730000000000004,21.049999999999997,98
ML4,1977,9.97,1.9600000000000002,8.01,67
CHA,1977,38.44,26.51,11.93,90
BAL,1977,27.96,11.12,16.84,97
CLE,1977,18.34,6.15,12.19,71
CHN,1977,48.78,27.359999999999996,21.42,81
NYA,1977,44.68,32.19,12.490000000000002,100
NYN,1977,27.759999999999998,11.390000000000002,16.369999999999997,64
PHI,1977,57.52000000000001,42.75000000000001,14.77,101
KCA,1977,43.410000000000004,23.680000000000003,19.73,102
MON,1977,40.93,29.259999999999998,11.670000000000002,75
PIT,1977,45.05,28.32,16.73,96
DET,1977,23.2,13.46,9.739999999999998,74
MIN,1978,24.889999999999997,10.32,14.569999999999997,73
CLE,1978,11.67,-1.1300000000000003,12.8,69
SDN,1978,42.34,19.630000000000003,22.71,84
HOU,1978,27.770000000000003,8.81,18.96,74
OAK,1978,11.079999999999998,-2.3499999999999996,13.429999999999998,69
CAL,1978,15.85,3.8499999999999996,12.0,87
SFN,1978,53.07000000000001,29.970000000000006,23.1,89
TOR,1978,0.5300000000000002,-4.53,5.0600000000000005,59
ATL,1978,20.77,12.879999999999999,7.890000000000001,69
CIN,1978,46.89,31.400000000000006,15.489999999999998,92
SEA,1978,2.339999999999999,1.0399999999999991,1.3,56
BOS,1978,41.49,27.27,14.22,99
LAN,1978,58.67999999999999,40.419999999999995,18.26,95
ML4,1978,41.06999999999999,25.599999999999998,15.469999999999999,93
