_name,_pid,projected_war,projection_std,total_pa,avg_woba,highest_level,_in_mlb
Kendry Feliz,802100,4.5,23.3,322.0,0.354,0,False
Robert Arias,815897,4.5,23.0,180.0,0.322,0,False
Rodolfo Amador,616613,4.5,23.4,483.0,0.3113333333333333,-1,False
Angel Diaz,801225,4.5,23.1,397.0,0.38833333333333336,0,False
Echedry Vargas,800448,4.5,21.7,938.0,0.30875,3,False
Jose Contreras,800451,4.5,22.4,501.0,0.30233333333333334,0,False
Bairon Ledesma,813982,4.5,23.6,378.0,0.3393333333333333,0,False
Alcides Escobar,444876,4.5,24.3,268.0,0.349,-1,True
Dario Reynoso,814294,4.5,23.9,339.0,0.368,0,False
Jorge Lara,814278,4.5,23.3,223.0,0.355,0,False
Roni Cabrera,800492,4.5,23.2,446.0,0.32860000000000006,2,False
Jose Rivera,801259,4.5,23.5,414.0,0.30300000000000005,0,False
Hector Osorio,800540,4.5,22.9,414.0,0.367,2,False
Marco Jaime,668616,4.5,22.5,525.0,0.27349999999999997,-1,False
Josias Ramirez,800382,4.5,23.4,428.0,0.294,0,False
Raimundo De Los Santos,808220,4.5,23.5,344.0,0.2875,0,False
Juan Sierra,808027,4.5,24.1,345.0,0.3315,0,False
Ruben Castro,657538,4.5,22.6,353.0,0.3773333333333333,-1,False
Yoiber Ocopio,808060,4.5,22.7,374.0,0.38400000000000006,0,False
Anyelo Marquez,808113,4.5,23.5,402.0,0.32599999999999996,0,False
Max Murphy,656782,4.5,24.4,208.0,0.402,-1,False
Yaikel Mijares,808119,4.5,24.0,437.0,0.3146666666666667,2,False
Jesús Sucre,491696,4.5,23.0,256.0,0.2916666666666667,-1,True
Luis Jimenez,499864,4.4,22.5,223.0,0.271,-1,True
Ricardo Serrano,495664,4.4,22.0,375.0,0.2885,-1,False
Joshua Liranzo,808162,4.4,21.3,310.0,0.32199999999999995,0,False
Jonathan Martinez,808159,4.4,22.2,254.0,0.3485,0,False
Luis Merejo,808153,4.4,22.4,582.0,0.37950000000000006,2,False
Eliesbert Alejos,808148,4.4,20.8,426.0,0.2985,0,False
Heribert Silva,808137,4.4,21.8,261.0,0.333,0,False
Raudy De Los Santos,691450,4.4,21.5,391.0,0.2663333333333333,0,False
Roderick Flores,808228,4.4,22.2,357.0,0.33599999999999997,0,False
Jesus Fabela,652999,4.4,22.1,382.0,0.3275,-1,False
Jack Barrie,650696,4.4,22.8,211.0,0.34450000000000003,-1,False
Jose Monzon,808267,4.4,22.2,498.0,0.313,2,False
Branny De Oleo,808067,4.4,21.6,346.0,0.323,0,False
Bryan Martinez,808115,4.4,22.2,217.0,0.3125,0,False
Jhorvic Abreus,808094,4.4,21.6,294.0,0.29233333333333333,0,False
Lisandro Bonifacio,800520,4.4,21.1,406.0,0.27399999999999997,0,False
Yanki Baptiste,800507,4.4,22.5,309.0,0.35875,2,False
Carlos Tirado,800504,4.4,20.9,416.0,0.3243333333333333,0,False
Harold Grant,800488,4.4,22.2,355.0,0.2966666666666667,0,False
Eric Bitonti,800724,4.4,22.5,504.0,0.354,2,False
Alberto Barriga,800569,4.4,22.2,475.0,0.31779999999999997,2,False
Angel Pierre,800542,4.4,21.4,248.0,0.38049999999999995,0,False
Carlos Gonzalez,801262,4.4,21.0,399.0,0.3273333333333333,0,False
Raynerd Ortega,800380,4.4,21.4,531.0,0.2902,2,False
Carlos Caro,814261,4.4,22.0,386.0,0.31625000000000003,2,False
Justin Ramirez,814256,4.4,22.2,392.0,0.3066666666666667,0,False
Jayson Bass,814188,4.4,22.0,344.0,0.3325,0,False
Maximo Maria,800472,4.4,21.5,238.0,0.275,0,False
Neifi Vasquez,800465,4.4,22.1,389.0,0.24700000000000003,0,False
Andres Nolaya,800438,4.4,22.0,373.0,0.30275,0,False
Yensi Reyes,813976,4.4,22.6,283.0,0.35450000000000004,0,False
Jose Castro,812161,4.4,21.8,146.0,0.32,0,False
