last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19,id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19
Wolters,Tony,547172.0,2016,1582.0,7.0,49.4,15.7,25.7,10.9,79.4,58.9,44.9,58.4,29.5,,,,,,,,,,,,,,,,,,,,,
Norris,Derek,519083.0,2016,3435.0,7.0,46.6,17.7,37.5,14.8,80.1,56.5,42.9,43.6,18.2,,,,,,,,,,,,,,,,,,,,,
Rivera,René,425784.0,2016,1572.0,6.0,50.1,22.4,40.8,14.5,72.8,70.8,40.5,42.8,25.9,,,,,,,,,,,,,,,,,,,,,
Mathis,Jeff,425772.0,2016,1050.0,5.0,53.1,14.0,29.8,8.3,70.1,66.5,44.2,58.1,45.9,,,,,,,,,,,,,,,,,,,,,
Vázquez,Christian,543877.0,2016,1460.0,4.0,48.2,21.9,32.3,22.8,71.0,67.1,31.3,51.5,25.0,,,,,,,,,,,,,,,,,,,,,
Casali,Curt,592200.0,2016,1942.0,4.0,45.2,30.0,36.3,16.3,87.1,54.5,30.8,36.7,12.0,,,,,,,,,,,,,,,,,,,,,
Lobatón,Jose,446653.0,2016,1010.0,4.0,51.5,20.9,31.8,1.8,77.5,58.8,54.1,59.0,31.4,,,,,,,,,,,,,,,,,,,,,
Maldonado,Martín,455117.0,2016,1935.0,4.0,48.8,19.1,34.2,7.3,78.7,57.2,49.4,51.6,23.4,,,,,,,,,,,,,,,,,,,,,
Zunino,Mike,572287.0,2016,1407.0,3.0,48.3,10.5,36.4,20.0,67.6,59.4,39.3,52.6,28.1,,,,,,,,,,,,,,,,,,,,,
Ross,David,424325.0,2016,1532.0,3.0,49.9,15.3,37.7,5.3,68.8,71.8,36.8,43.9,34.1,,,,,,,,,,,,,,,,,,,,,
Joseph,Caleb,543376.0,2016,1247.0,3.0,47.1,36.8,47.6,10.6,80.5,48.0,34.2,45.3,15.4,,,,,,,,,,,,,,,,,,,,,
Plawecki,Kevin,608700.0,2016,1137.0,2.0,49.1,17.1,44.7,6.5,77.0,63.4,37.2,56.3,16.5,,,,,,,,,,,,,,,,,,,,,
Ellis,A.J.,454560.0,2016,1531.0,1.0,44.8,21.2,40.0,10.6,78.6,58.6,31.9,36.0,16.0,,,,,,,,,,,,,,,,,,,,,
Castillo,Welington,456078.0,2016,3236.0,1.0,47.1,13.2,27.0,6.5,70.2,57.5,36.9,48.8,24.6,,,,,,,,,,,,,,,,,,,,,
Kratz,Erik,456124.0,2016,703.0,1.0,48.9,25.6,36.7,12.9,74.8,58.8,37.5,49.7,20.0,,,,,,,,,,,,,,,,,,,,,
Ramos,Wilson,467092.0,2016,3539.0,1.0,45.7,33.9,52.8,10.8,82.2,52.0,34.0,33.5,11.4,,,,,,,,,,,,,,,,,,,,,
Suzuki,Kurt,435559.0,2016,2829.0,1.0,46.9,19.8,45.1,17.5,73.6,61.7,31.9,36.8,17.8,,,,,,,,,,,,,,,,,,,,,
Bethancourt,Christian,542194.0,2016,1109.0,1.0,46.9,27.1,37.9,17.4,79.4,59.4,36.3,37.1,23.3,,,,,,,,,,,,,,,,,,,,,
Gattis,Evan,594828.0,2016,1477.0,1.0,49.8,19.8,50.3,16.7,76.5,68.2,32.3,46.8,17.2,,,,,,,,,,,,,,,,,,,,,
