player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Rodríguez, Manuel",655889,2024,,,,,,,,,39,,,,,,,,88.0,46.0,
"Winckowski, Josh",670174,2024,36.0,17.0,41.0,62.0,28.0,54.0,80.0,58.0,10,13.0,12.0,53.0,12.0,36.0,,36.0,67.0,7.0,
"Cleavinger, Garrett",664076,2024,32.0,60.0,63.0,61.0,12.0,54.0,16.0,89.0,55,85.0,77.0,10.0,85.0,67.0,,32.0,84.0,77.0,
"Sborz, Josh",622250,2024,,,,,,,,,39,,,,,,,,67.0,84.0,14.0
"Brewer, Colten",605155,2024,,,,,,,,,29,,,,,,,,54.0,43.0,88.0
"Snead, Kirby",669912,2024,,,,,,,,,82,,,,,,,,28.0,72.0,
"Lee, Dylan",669276,2024,96.0,91.0,83.0,67.0,95.0,77.0,54.0,81.0,51,94.0,93.0,64.0,98.0,99.0,,96.0,25.0,51.0,
"Leasure, Jordan",673929,2024,,,,,,,,,4,,,,,,,,82.0,57.0,89.0
"O'Brien, Riley",676617,2024,,,,,,,,,35,,,,,,,,89.0,17.0,
"Adams, Austin",613534,2024,,,,,,,,,78,,,,,,,,38.0,100.0,
"Nelson, Nick",656793,2024,,,,,,,,,93,,,,,,,,47.0,2.0,
"Alexander, Scott",518397,2024,,,,,,,,,11,,,,,,,,20.0,31.0,
"Davis, Austin",656354,2024,,,,,,,,,74,,,,,,,,23.0,66.0,
"Knack, Landon",689017,2024,49.0,67.0,16.0,4.0,83.0,40.0,9.0,7.0,49,11.0,59.0,77.0,29.0,15.0,,49.0,40.0,91.0,93.0
"Burke, Brock",656271,2024,,,,,,,,,78,,,,,,,,76.0,41.0,
"Molina, Anthony",683627,2024,2.0,1.0,5.0,30.0,1.0,50.0,43.0,11.0,42,5.0,4.0,45.0,5.0,1.0,,2.0,62.0,19.0,23.0
"Waldrep, Hurston",694462,2024,,,,,,,,,75,,,,,,,,78.0,29.0,
"Nicolas, Kyle",693312,2024,30.0,53.0,72.0,79.0,5.0,64.0,32.0,19.0,34,35.0,46.0,2.0,72.0,14.0,,30.0,94.0,81.0,49.0
"Holmes, Grant",656550,2024,70.0,49.0,52.0,52.0,82.0,64.0,70.0,53.0,44,52.0,65.0,90.0,92.0,97.0,,70.0,59.0,66.0,88.0
"Roycroft, Chris",688297,2024,,,,,,,,,65,,,,,,,,76.0,32.0,
"Waguespack, Jacob",621097,2024,,,,,,,,,89,,,,,,,,41.0,24.0,
"Gray, Sonny",543243,2024,64.0,51.0,48.0,41.0,81.0,13.0,24.0,27.0,23,57.0,91.0,84.0,82.0,72.0,,64.0,26.0,92.0,68.0
"Sims, Lucas",608371,2024,33.0,74.0,52.0,27.0,18.0,64.0,14.0,99.0,57,95.0,49.0,1.0,52.0,65.0,,33.0,52.0,99.0,99.0
"Strider, Spencer",675911,2024,,,,,,,,,77,,,,,,,,84.0,53.0,
"Muñoz, Roddery",682610,2024,1.0,6.0,1.0,1.0,2.0,16.0,1.0,5.0,25,6.0,14.0,14.0,34.0,18.0,,1.0,69.0,51.0,
"Dunning, Dane",641540,2024,8.0,20.0,7.0,6.0,15.0,23.0,5.0,11.0,39,5.0,38.0,27.0,35.0,12.0,,8.0,4.0,14.0,20.0
"Frías, Luis",666818,2024,,,,,,,,,66,,,,,,,,79.0,41.0,
"Williams, Devin",642207,2024,,,,,,,,,91,,,,,,,,61.0,76.0,
"Uribe, Abner",682842,2024,,,,,,,,,20,,,,,,,,98.0,63.0,
"Suarez, José",660761,2024,14.0,25.0,38.0,51.0,4.0,64.0,32.0,42.0,45,2.0,53.0,12.0,66.0,53.0,,14.0,30.0,65.0,
"Fairbanks, Pete",664126,2024,,,,,,,,,57,,,,,,,,93.0,73.0,
"Díaz, Jhonathan",646242,2024,,,,,,,,,71,,,,,,,,3.0,23.0,
"Hill, Tim",657612,2024,68.0,15.0,90.0,100.0,37.0,99.0,100.0,74.0,41,34.0,1.0,73.0,1.0,68.0,,68.0,3.0,18.0,
"Dana, Caden",702674,2024,,,,,,,,,68,,,,,,,,43.0,28.0,
"Zulueta, Yosver",691172,2024,,,,,,,,,61,,,,,,,,84.0,32.0,
"Barnes, Matt",598264,2024,,,,,,,,,2,,,,,,,,13.0,21.0,1.0
"Martin, Chris",455119,2024,,,,,,,,,35,,,,,,,,59.0,28.0,
"Tinoco, Jesus",622786,2024,,,,,,,,,30,,,,,,,,83.0,61.0,
"Swanson, Erik",657024,2024,,,,,,,,,42,,,,,,,,47.0,56.0,
"Daniel, Davis",669721,2024,,,,,,,,,31,,,,,,,,15.0,21.0,
"Moll, Sam",594580,2024,,,,,,,,,33,,,,,,,,30.0,93.0,
"Parsons, Wes",641149,2024,,,,,,,,,78,,,,,,,,56.0,72.0,
"Beck, Tristan",663941,2024,,,,,,,,,65,,,,,,,,34.0,13.0,
"Ferrer, Jose A.",678606,2024,,,,,,,,,60,,,,,,,,97.0,19.0,
"Blach, Ty",621389,2024,1.0,1.0,1.0,1.0,2.0,20.0,2.0,6.0,19,17.0,1.0,87.0,1.0,56.0,,1.0,2.0,9.0,20.0
"Rea, Colin",607067,2024,13.0,10.0,9.0,15.0,31.0,3.0,28.0,11.0,17,21.0,19.0,81.0,7.0,8.0,,13.0,28.0,28.0,8.0
"Hader, Josh",623352,2024,94.0,99.0,85.0,43.0,97.0,54.0,9.0,25.0,53,49.0,99.0,34.0,100.0,92.0,,94.0,82.0,54.0,
